NT_GER,QE_I01,QE_I04,QE_I05,QE_I08,QE_I09,QE_I15
76.9,Casado(a),Fundamental I,Médio,B,D,Sem Cotas
28.7,Solteiro(a),Nenhuma,Fundamental I,A,E,Sem Cotas
17.9,Solteiro(a),Nenhuma,Fundamental II,A,A,Sem Cotas
37.6,Divorciado(a),Fundamental I,Fundamental I,B,C,Sem Cotas
53.0,Solteiro(a),Médio,Médio,A,A,Sem Cotas
43.8,Solteiro(a),Nenhuma,Nenhuma,C,E,Sem Cotas
51.0,Solteiro(a),Nenhuma,Fundamental I,A,E,Renda
38.1,Solteiro(a),Nenhuma,Médio,A,F,Sem Cotas
43.9,Casado(a),Superior,Fundamental I,A,A,Sem Cotas
65.9,Casado(a),Fundamental I,Fundamental I,D,C,Sem Cotas
55.1,Casado(a),Nenhuma,Nenhuma,B,B,Sem Cotas
50.9,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
24.0,Solteiro(a),Fundamental I,Fundamental I,A,C,Sem Cotas
68.8,Solteiro(a),Fundamental I,Fundamental I,A,B,Sem Cotas
48.9,Solteiro(a),Fundamental I,Médio,B,A,Sim - ?
32.0,Solteiro(a),Nenhuma,Nenhuma,A,F,Sem Cotas
56.6,Solteiro(a),Médio,Médio,A,F,Renda
52.9,Divorciado(a),Superior,Médio,A,F,Sem Cotas
59.6,Solteiro(a),Fundamental I,Nenhuma,A,B,Renda
72.2,Solteiro(a),Médio,Médio,A,E,2 ou mais critérios
48.0,Solteiro(a),Superior,Superior,C,C,Sem Cotas
55.6,Casado(a),Fundamental II,Fundamental II,C,E,2 ou mais critérios
55.1,Solteiro(a),Médio,Médio,B,B,Ensino Público
27.6,Solteiro(a),Médio,Médio,B,A,2 ou mais critérios
33.3,Solteiro(a),Médio,Superior,A,C,Ensino Público
64.9,Solteiro(a),Fundamental II,Fundamental II,B,F,Renda
25.0,Solteiro(a),Médio,Superior,A,B,Sem Cotas
75.2,Solteiro(a),Fundamental II,Médio,B,A,Sem Cotas
45.4,Solteiro(a),Médio,Pós-graduação,B,B,Sem Cotas
27.6,Solteiro(a),Superior,Fundamental II,A,D,Ensino Público
44.6,Casado(a),Médio,Fundamental II,A,C,Sim - ?
37.4,Solteiro(a),Fundamental II,Fundamental II,B,A,Sem Cotas
33.5,Solteiro(a),Nenhuma,Fundamental I,B,C,Renda
66.8,Solteiro(a),Médio,Superior,B,C,Sem Cotas
57.8,Solteiro(a),Médio,Superior,B,B,Ensino Público
64.0,Solteiro(a),Fundamental I,Fundamental II,B,E,Sem Cotas
31.5,Solteiro(a),Fundamental I,Pós-graduação,A,A,Sem Cotas
14.0,Solteiro(a),Fundamental II,Fundamental II,A,A,Sem Cotas
55.8,Solteiro(a),Fundamental I,Médio,A,C,Sim - ?
28.2,Solteiro(a),Médio,Pós-graduação,C,C,2 ou mais critérios
59.3,Solteiro(a),Médio,Fundamental I,A,A,2 ou mais critérios
56.0,Solteiro(a),Médio,Médio,A,B,2 ou mais critérios
28.1,Solteiro(a),Fundamental II,Fundamental II,B,B,Renda
36.2,Solteiro(a),Fundamental I,Superior,D,E,Renda
51.0,Solteiro(a),Fundamental I,Fundamental I,B,D,Sem Cotas
27.7,Solteiro(a),Superior,Superior,D,B,Sem Cotas
34.5,Solteiro(a),Fundamental I,Fundamental I,A,A,Renda
26.9,Solteiro(a),Pós-graduação,Médio,B,C,Sim - ?
38.3,Casado(a),Fundamental II,Superior,A,A,Sem Cotas
21.2,Solteiro(a),Superior,Médio,A,D,Sem Cotas
32.1,Divorciado(a),Fundamental I,Fundamental I,A,C,Sem Cotas
47.6,Casado(a),Fundamental I,Fundamental I,A,F,Sem Cotas
41.1,Solteiro(a),Fundamental I,Médio,A,B,Sem Cotas
56.4,Solteiro(a),Fundamental II,Fundamental II,A,B,2 ou mais critérios
44.6,Solteiro(a),Superior,Superior,B,C,Sem Cotas
53.3,Casado(a),Médio,Fundamental II,A,E,Renda
30.6,Solteiro(a),Médio,Médio,C,B,Sem Cotas
49.1,Solteiro(a),Médio,Médio,B,C,Sem Cotas
43.7,Solteiro(a),Fundamental I,Médio,A,A,Ensino Público
24.5,Solteiro(a),Médio,Médio,E,C,Sem Cotas
48.8,Solteiro(a),Médio,Médio,B,E,Renda
61.0,Solteiro(a),Pós-graduação,Superior,A,C,2 ou mais critérios
31.2,Solteiro(a),Fundamental I,Fundamental I,A,E,Ensino Público
39.0,Solteiro(a),Superior,Superior,E,C,Sem Cotas
50.6,Solteiro(a),Médio,Superior,E,E,Sem Cotas
50.0,Solteiro(a),Superior,Médio,C,C,Sem Cotas
41.1,Outro,Fundamental II,Médio,A,A,Sem Cotas
53.0,Solteiro(a),Médio,Médio,B,E,Sem Cotas
