Cod_setor;Cod_Grandes Regiões;Nome_Grande_Regiao;Cod_UF;Nome_da_UF ;Cod_meso;Nome_da_meso;Cod_micro;Nome_da_micro;Cod_RM;Nome_da_RM;Cod_municipio;Nome_do_municipio;Cod_distrito;Nome_do_distrito;Cod_subdistrito;Nome_do_subdistrito;Cod_bairro;Nome_do_bairro;Situacao_setor;Tipo_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012
330455705060001;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;0;264.0;791.0;3;2.6;757.91;331904.64;893.25;270004.93;576.19;368717.56;845.32;313320.35
330455705060002;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;1;310.0;1052.0;3.39;2.41;619.52;175002.41;678.62;151505.24;420.16;154354.78;624.89;101543.49
330455705060003;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;1;96.0;320.0;3.33;2.65;301.77;67625.25;482.83;19983.36;263.96;108971.06;525.99;79105.09
330455705060004;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;1;140.0;435.0;3.11;2.51;579.83;149196.53;705.88;92158.84;379.7;152411.85;666.26;76154.52
330455705060005;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;1;181.0;648.0;3.58;3.99;285.41;78023.86;511.49;23654.77;218.36;74676.12;520.95;20262.25
330455705060006;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;1;324.0;1119.0;3.45;2.54;609.39;576737.82;805.89;604465.53;424.5;334173.31;742.87;348323.21
330455705060008;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;0;150.0;533.0;3.55;1.64;2654.42;1812818.35;2708.59;1702333.65;1089.18;2042148.93;1983.08;1945104.82
330455705060009;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;0;205.0;615.0;3;1.82;1577.8;2278705.7;1720.48;2239080.79;941.64;1480568.87;1420.4;1553507.12
330455705060010;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;1;270.0;811.0;3;2.84;572.97;104649.97;639.26;74253.71;429.81;134595.84;616.59;77790.85
330455705060011;3;Região Sudeste;33;Rio de Janeiro;3306;Metropolitana do Rio de Janeiro;33018;Rio de Janeiro;19;RM Rio de Janeiro ;3304557;RIO DE JANEIRO;330455705;RIO DE JANEIRO;33045570506;PORTUÁRIA;3304557004;Caju;1;1;369.0;1157.0;3.14;2.73;634.22;146399.48;690.35;120532.51;442.84;152554.2;637.17;95589.72
